Concentration,Start data,Replicate,Day of Exposure ,# Alive ,# Carapace ,#Neonates 
6.6,20-Jan-20,1,0,1,0,0
6.6,20-Jan-20,1,2,0,0,0
6.6,20-Jan-20,1,4,0,0,0
6.6,20-Jan-20,1,7,0,0,0
6.6,20-Jan-20,1,9,0,0,0
6.6,20-Jan-20,1,11,0,0,0
6.6,20-Jan-20,1,14,0,0,0
6.6,20-Jan-20,1,16,0,0,0
6.6,20-Jan-20,1,18,0,0,0
6.6,20-Jan-20,1,21,0,0,0
6.6,20-Jan-20,2,0,1,0,0
6.6,20-Jan-20,2,2,1,0,0
6.6,20-Jan-20,2,4,0,0,0
6.6,20-Jan-20,2,7,0,0,0
6.6,20-Jan-20,2,9,0,0,0
6.6,20-Jan-20,2,11,0,0,0
6.6,20-Jan-20,2,14,0,0,0
6.6,20-Jan-20,2,16,0,0,0
6.6,20-Jan-20,2,18,0,0,0
6.6,20-Jan-20,2,21,0,0,0
6.6,20-Jan-20,3,0,1,0,0
6.6,20-Jan-20,3,2,0,0,0
6.6,20-Jan-20,3,4,0,0,0
6.6,20-Jan-20,3,7,0,0,0
6.6,20-Jan-20,3,9,0,0,0
6.6,20-Jan-20,3,11,0,0,0
6.6,20-Jan-20,3,14,0,0,0
6.6,20-Jan-20,3,16,0,0,0
6.6,20-Jan-20,3,18,0,0,0
6.6,20-Jan-20,3,21,0,0,0
6.6,20-Jan-20,4,0,1,0,0
6.6,20-Jan-20,4,2,0,1,0
6.6,20-Jan-20,4,4,0,0,0
6.6,20-Jan-20,4,7,0,0,0
6.6,20-Jan-20,4,9,0,0,0
6.6,20-Jan-20,4,11,0,0,0
6.6,20-Jan-20,4,14,0,0,0
6.6,20-Jan-20,4,16,0,0,0
6.6,20-Jan-20,4,18,0,0,0
6.6,20-Jan-20,4,21,0,0,0
6.6,20-Jan-20,5,0,1,0,0
6.6,20-Jan-20,5,2,1,0,0
6.6,20-Jan-20,5,4,1,1,0
6.6,20-Jan-20,5,7,0,0,0
6.6,20-Jan-20,5,9,0,0,0
6.6,20-Jan-20,5,11,0,0,0
6.6,20-Jan-20,5,14,0,0,0
6.6,20-Jan-20,5,16,0,0,0
6.6,20-Jan-20,5,18,0,0,0
6.6,20-Jan-20,5,21,0,0,0
6.6,20-Jan-20,6,0,1,0,0
6.6,20-Jan-20,6,2,0,1,0
6.6,20-Jan-20,6,4,0,0,0
6.6,20-Jan-20,6,7,0,0,0
6.6,20-Jan-20,6,9,0,0,0
6.6,20-Jan-20,6,11,0,0,0
6.6,20-Jan-20,6,14,0,0,0
6.6,20-Jan-20,6,16,0,0,0
6.6,20-Jan-20,6,18,0,0,0
6.6,20-Jan-20,6,21,0,0,0
6.6,20-Jan-20,7,0,1,0,0
6.6,20-Jan-20,7,2,0,0,0
6.6,20-Jan-20,7,4,0,0,0
6.6,20-Jan-20,7,7,0,0,0
6.6,20-Jan-20,7,9,0,0,0
6.6,20-Jan-20,7,11,0,0,0
6.6,20-Jan-20,7,14,0,0,0
6.6,20-Jan-20,7,16,0,0,0
6.6,20-Jan-20,7,18,0,0,0
6.6,20-Jan-20,7,21,0,0,0
6.6,20-Jan-20,8,0,1,0,0
6.6,20-Jan-20,8,2,0,0,0
6.6,20-Jan-20,8,4,0,0,0
6.6,20-Jan-20,8,7,0,0,0
6.6,20-Jan-20,8,9,0,0,0
6.6,20-Jan-20,8,11,0,0,0
6.6,20-Jan-20,8,14,0,0,0
6.6,20-Jan-20,8,16,0,0,0
6.6,20-Jan-20,8,18,0,0,0
6.6,20-Jan-20,8,21,0,0,0
6.6,20-Jan-20,9,0,1,0,0
6.6,20-Jan-20,9,2,0,0,0
6.6,20-Jan-20,9,4,0,0,0
6.6,20-Jan-20,9,7,0,0,0
6.6,20-Jan-20,9,9,0,0,0
6.6,20-Jan-20,9,11,0,0,0
6.6,20-Jan-20,9,14,0,0,0
6.6,20-Jan-20,9,16,0,0,0
6.6,20-Jan-20,9,18,0,0,0
6.6,20-Jan-20,9,21,0,0,0
6.6,20-Jan-20,10,0,1,0,0
6.6,20-Jan-20,10,2,0,0,0
6.6,20-Jan-20,10,4,0,0,0
6.6,20-Jan-20,10,7,0,0,0
6.6,20-Jan-20,10,9,0,0,0
6.6,20-Jan-20,10,11,0,0,0
6.6,20-Jan-20,10,14,0,0,0
6.6,20-Jan-20,10,16,0,0,0
6.6,20-Jan-20,10,18,0,0,0
6.6,20-Jan-20,10,21,0,0,0
