Lake,D.minutus,D.oregonensis,Diaptomus ashlandi,Diaptomus reighardi,Diaptomus sanguineus,Diaptomus sicilis,Diaptomus siciloides,Epischura lacustris,Limnocalanus macrurus,Senecella calanoides,Bosmina freyi/liederi,Bosmina longirostris,Bythotrephes longimanus,Ceriodaphnia sp.,Chydorus sphaericus,Daphnia sp.,D.catawba,D.dubia,D.galeata mendotae,D.longiremis,D.parvula,D.pulex and D.pulicaria,D.retrocurva,Dahnia ambigua,Daphnia schodleri,"Diaphanosoma spp. (birgei, brachyurum, leuchtenbergianum)",Eubosmina coregoni,Eubosmina longispina,Eubosmina tubicen,Holopedium gibberum,Cyclops scutifer,Cyclops vernalis,Diacyclops thomasi,Eucyclops agilis,Eucyclops speratus,Mesocyclops americanus,Mesocylops edax,Orthocyclops modestus,Tropocyclops extensus,Acantholeberis curvirostris,Acroperus harpae,Alona sp.,Drepanothrix dentate,Ergasilus sp.,Eurycercus lamellatus,Ilyocryptus spp.,Latona setifera,Macrocyclops albidus,Macrothrix sp.,Ophryoxus gracilis,Paracyclops fimbriatus thomasi,Pleuroxus spp,Polyphemus pediculus,Scapholeberis kingi,Sida crystallina,Simocephalus serrulatus,Leydigia leydigi
A.Y. Jackson,2.166230186,0,0,0,0,0,0,0,0,0,0.708190638,0,0,0,0,0,0,0,0.083316546,0,0,0,0,0,0,0.208291364,0,0.041658273,1.208089912,2.041255368,0,0,0.083316546,0,0,0,0,0.124974818,0.374924455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acid,0.546523171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58556054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bell,1.887494474,0,0,0,0,0,0,0,0,0,6.186787442,0,0,0,0,0,0,0,0,0.104860804,0,0,0,0,0,0.52430402,0,0,0,1.572912061,0.104860804,0.419443216,4.404153772,0,0,0,0.734025629,0,1.048608041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bodina,1.158925983,0,0,15.64550077,0,0,0,0,0,0,11.58925983,0,0,0.579462992,0,0,0,0,0,0,0,0,0,0,0,18.54281573,0,0,0,0.579462992,0,0,0,0,0,0,5.794629915,0,61.89296906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boundary,23.134412,0,0,0,0,0,0,0,0,0,29.10448493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.942718546,0,5.322927665,0.380209119,11.02606445,0,0,0,0,0,0,0.760418238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380209119,0,0,0,0
Carlyle,2.727499215,0,0,0,0,0,0,0,0,0,6.861979652,0,0,0,0,0,0,0,0,0,0,0,0,0.094051697,0,0.65836188,0,0,0.752413577,11.36918213,0,0,0,0,0,0,0.282155091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlton,1.144825859,2.289651718,0,0,0,0,0,0,0,0,5.151716366,0,0,0,0,9.444813338,0,1.431032324,0.858619394,5.724129296,0,0.858619394,2.003445254,0,0,14.31032324,0,0,0,0.286206465,0,0,8.872400408,0,0,0,0.57241293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clearsilver,0.029335439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048892399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003259493,0,0,0,0.008148733,0,0,0,0.00488924,0.01466772,0,0,0,0,0,0,0,0,0,0,0.003259493,0,0,0,0
David,2.959642393,0,0,0,0,0,0,0,0,0,3.033633453,0,0,0,0,0,0.07399106,0,0,0,1.109865897,0.369955299,0,0.221973179,0,0,0,0,0.369955299,1.553812256,0,0,0,0,0,0,1.849776496,0,0.07399106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deLamorandiere,18.67339196,0,0,0,0,0,0,0,0,0,0.062184026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054411022,0,0,0,0,0,0,0,0,0,0,0.124368051,0.062184026,0,0,0.007773003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
