Lake,Status
A.Y. Jackson,Recovered
Acid,Acidic
Bell,Recovered
Bodina,Neutral
Boundary,Recovered
Carlyle,Recovered
Charlton,Neutral
Clearsilver,Acidic
David,Acidic
deLamorandiere,Acidic
Evangeline,Recovered
Fish,Recovered
Freeland,Acidic
Frood,Recovered
Gail,Acidic
Gem,Neutral
George,Recovered
Great Mountain,Recovered
Helen,Neutral
Howry,Neutral
Ishmael,Neutral
Johnnie,Recovered
Kakakise,Recovered
Killarney,Acidic
La Cloche,Neutral
Little Mountain,Acidic
Little Sheguindah,Recovered
Little Superior,Acidic
Logboom,Recovered
Low,Neutral
Lumsden,Acidic
Muriel,Acidic
Nellie,Acidic
Norway,Acidic
O.S.A.,Acidic
Partridge,Recovered
Proulx,Acidic
Roque,Acidic
Ruth-Roy,Acidic
Shingwak,Acidic
Solomon,Acidic
Terry ,Acidic
Threenarrows,Recovered
Turbid,Acidic
Whiskeyjack,Acidic
